#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin
34 0.12923 164.668 0 0 164.668 0.135321 2.96749e+06 0 1.04444e+07 410.163 29022.7 18531 8048.35 0.00304783 0 0 0 0 0 0 0 0 0 0 10
35 0.135321 161.392 0 0 161.392 0.141698 3.24712e+06 0 1.13401e+07 452.979 27848 18964.3 8467.67 0.00343504 0 0 0 0 0 0 0 0 0 0 10
36 0.141698 158.062 0 0 158.062 0.148376 3.55276e+06 0 1.23019e+07 500.138 26714.8 19404.8 8906.78 0.00387035 0 0 0 0 0 0 0 0 0 0 10
37 0.148376 154.681 0 0 154.681 0.155369 3.88679e+06 0 1.3334e+07 552.069 25621.6 19852.4 9366.46 0.00435951 0 0 0 0 0 0 0 0 0 0 10
38 0.155369 151.253 0 0 151.253 0.162691 4.25179e+06 0 1.44405e+07 609.239 24567.2 20307 9847.49 0.00488427 0 0 0 0 0 0 0 0 0 0 10
39 0.162691 147.779 0 0 147.779 0.170358 4.65057e+06 0 1.5626e+07 672.163 23550.4 20768.6 10350.7 0.00546282 0 0 0 0 0 0 0 0 0 0 10
40 0.170358 144.263 0 0 144.263 0.178387 5.08619e+06 0 1.68949e+07 741.401 22570 21237.1 10876.8 0.00610827 0 0 0 0 0 0 0 0 0 0 10
41 0.178387 140.709 0 0 140.709 0.186794 5.56197e+06 0 1.82519e+07 817.568 21624.8 21712.5 11155 0.00682806 0 0 0 0 0 0 0 0 0 0 10
42 0.186794 137.119 0 0 137.119 0.195598 6.08152e+06 0 1.97019e+07 901.335 20713.6 22194.5 10977.8 0.00763056 0 0 0 0 0 0 0 0 0 0 10
43 0.195598 133.498 0 0 133.498 0.204816 6.64876e+06 0 2.12498e+07 993.434 19835.5 22683.1 10831.9 0.00850264 0 0 0 0 0 0 0 0 0 0 10
44 0.204816 129.85 0 0 129.85 0.214469 7.26795e+06 0 2.29006e+07 1094.67 18989.3 23178.2 10706 0.00945573 0 0 0 0 0 0 0 0 0 0 10
