#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  SDensityOFR SDensityCAR MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 56 0.355929 9.17093 0 0 9.17093 0.372704 0 0 1.0022e+11 0 0 0 0 10 11.7459
3 57 0.372704 7.98773 0 0 7.98773 0.390269 0 0 8.98044e+10 0 0 0 0 10 12.2994
3 58 0.390269 6.91833 0 0 6.91833 0.408662 0 0 8.0056e+10 0 0 0 0 10 12.8791
3 59 0.408662 5.95721 0 0 5.95721 0.427921 0 0 7.09804e+10 0 0 0 0 10 13.4861
3 60 0.427921 5.09848 0 0 5.09848 0.448088 0 0 6.25778e+10 0 0 0 0 10 14.1216
3 61 0.448088 4.33591 0 0 4.33591 0.469206 0 0 5.48433e+10 0 0 0 0 10 14.7872
3 62 0.469206 3.66306 0 0 3.66306 0.491319 0 0 4.77668e+10 0 0 0 0 10 15.4841
3 63 0.491319 3.07331 0 0 3.07331 0.514474 0 0 4.13334e+10 0 0 0 0 10 16.2138
3 64 0.514474 2.55999 0 0 2.55999 0.538721 0 0 3.55235e+10 0 0 0 0 10 16.9779
3 65 0.538721 2.11643 0 0 2.11643 0.56411 0 0 3.0313e+10 0 0 0 0 10 17.7781
3 66 0.56411 1.73603 0 0 1.73603 0.590696 0 0 2.56742e+10 0 0 0 0 10 18.6159
3 67 0.590696 1.41238 0 0 1.41238 0.618534 0 0 2.15757e+10 0 0 0 0 10 19.4933
3 68 0.618534 1.13928 0 0 1.13928 0.647685 0 0 1.79834e+10 0 0 0 0 10 20.412
3 69 0.647685 0.91081 0 0 0.91081 0.678209 0 0 1.48612e+10 0 0 0 0 10 21.374
3 70 0.678209 0.721395 0 0 0.721395 0.710172 0 0 1.21711e+10 0 0 0 0 10 22.3813
3 71 0.710172 0.565831 0 0 0.565831 0.743642 0 0 9.87463e+09 0 0 0 0 10 23.4361
3 72 0.743642 0.439318 0 0 0.439318 0.778689 0 0 7.93289e+09 0 0 0 0 10 24.5406
3 73 0.778689 0.337484 0 0 0.337484 0.815387 0 0 6.30755e+09 0 0 0 0 10 25.6971
3 74 0.815387 0.256391 0 0 0.256391 0.853815 0 0 4.96132e+09 0 0 0 0 10 26.9082
3 75 0.853815 0.192535 0 0 0.192535 0.894054 0 0 3.85851e+09 0 0 0 0 10 28.1764
3 76 0.894054 0.142839 0 0 0.142839 0.936189 0 0 2.9655e+09 0 0 0 0 10 29.5043
3 77 0.936189 0.104635 0 0 0.104635 0.980311 0 0 2.25106e+09 0 0 0 0 10 30.8948
3 78 0.980311 0.0756398 0 0 0.0756398 1.02651 0 0 1.68669e+09 0 0 0 0 10 32.3508
3 79 1.02651 0.053927 0 0 0.053927 1.07489 0 0 1.24674e+09 0 0 0 0 10 33.8754
3 80 1.07489 0.0378939 0 0 0.0378939 1.12555 0 0 9.08509e+08 0 0 0 0 10 35.4719
3 81 1.12555 0.0262273 0 0 0.0262273 1.17859 0 0 6.52237e+08 0 0 0 0 10 37.1437
3 82 1.17859 0.0178673 0 0 0.0178673 1.23414 0 0 4.60998e+08 0 0 0 0 10 38.8942
3 83 1.23414 0.0119721 0 0 0.0119721 1.2923 0 0 3.20546e+08 0 0 0 0 10 40.7272
3 84 1.2923 0.00788422 0 0 0.00788422 1.35321 0 0 2.19101e+08 0 0 0 0 10 42.6466
3 85 1.35321 0.0050989 0 0 0.0050989 1.41698 0 0 1.47099e+08 0 0 0 0 10 44.6565
3 86 1.41698 0.00323565 0 0 0.00323565 1.48376 0 0 9.69216e+07 0 0 0 0 10 46.7611
3 87 1.48376 0.00201296 0 0 0.00201296 1.55369 0 0 6.2617e+07 0 0 0 0 10 48.9649
3 88 1.55369 0.00122659 0 0 0.00122659 1.62691 0 0 3.96298e+07 0 0 0 0 10 51.2725
3 89 1.62691 0.000731376 0 0 0.000731376 1.70358 0 0 2.45465e+07 0 0 0 0 10 53.6889
3 90 1.70358 0.000426304 0 0 0.000426304 1.78387 0 0 1.48646e+07 0 0 0 0 10 56.2192
3 91 1.78387 0.000242649 0 0 0.000242649 1.86794 0 0 8.79121e+06 0 0 0 0 10 58.8688
3 92 1.86794 0.000134722 0 0 0.000134722 1.95598 0 0 5.07219e+06 0 0 0 0 10 61.6432
3 93 1.95598 7.28788e-05 0 0 7.28788e-05 2.04816 0 0 2.85157e+06 0 0 0 0 10 64.5483
3 94 2.04816 3.83653e-05 0 0 3.83653e-05 2.14469 0 0 1.56022e+06 0 0 0 0 10 67.5904
3 95 2.14469 1.96291e-05 0 0 1.96291e-05 2.24576 0 0 829748 0 0 0 0 10 70.7758
3 96 2.24576 9.74787e-06 0 0 9.74787e-06 2.3516 0 0 428332 0 0 0 0 10 74.1114
