#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 29 0.119763 0.125407 0.119346 455.04 306.82 446.455 8.58532 2.98122e+14 2.04283e+13 2.18963e+13 -0.0233959 0.00237037 0.00116978 1.55857e+07 6.87816e+08 1.53804e+11
3 30 0.125407 0.131318 0.12497 453.011 301.761 444.423 8.58742 2.96324e+14 2.0305e+13 2.17703e+13 -0.0273507 0.00236959 0.00117338 1.70241e+07 6.87816e+08 1.53804e+11
3 31 0.131318 0.137507 0.13086 450.896 296.6 442.306 8.58962 2.94453e+14 2.01768e+13 2.16391e+13 -0.0313825 0.00236878 0.00117701 1.85743e+07 6.87816e+08 1.53804e+11
3 32 0.137507 0.143987 0.137027 448.691 291.342 440.1 8.59194 2.92505e+14 2.00434e+13 2.15025e+13 -0.0355196 0.00236793 0.00118069 2.0244e+07 6.87816e+08 1.53804e+11
3 33 0.143987 0.150773 0.143485 446.395 286.021 437.8 8.59437 2.9048e+14 1.99046e+13 2.13605e+13 -0.0395904 0.00236703 0.00118443 2.20413e+07 6.87816e+08 1.53804e+11
3 34 0.150773 0.157879 0.150247 444.002 280.572 435.405 8.59692 2.88373e+14 1.97602e+13 2.12128e+13 -0.0444386 0.00236609 0.00118817 2.39745e+07 6.87816e+08 1.53804e+11
3 35 0.157879 0.165319 0.157328 441.51 275.084 432.91 8.59961 2.86183e+14 1.96102e+13 2.10592e+13 -0.0505908 0.0023651 0.00119198 2.60527e+07 6.87816e+08 1.53804e+11
3 36 0.165319 0.17311 0.164743 438.915 269.519 430.313 8.60243 2.83908e+14 1.94543e+13 2.08995e+13 -0.0584038 0.00236406 0.00119582 2.82853e+07 6.87816e+08 1.53804e+11
3 37 0.17311 0.181269 0.172507 436.215 263.862 427.609 8.60541 2.81544e+14 1.92923e+13 2.07337e+13 -0.0667644 0.00236297 0.00119966 3.0682e+07 6.87816e+08 1.53804e+11
3 38 0.181269 0.189812 0.180637 433.404 258.164 424.796 8.60853 2.79089e+14 1.91241e+13 2.05614e+13 -0.0758642 0.00236182 0.00120355 3.32531e+07 6.87816e+08 1.53804e+11
3 39 0.189812 0.198757 0.18915 430.48 252.434 421.869 8.61182 2.76541e+14 1.89495e+13 2.03826e+13 -0.0857099 0.00236061 0.00120748 3.60097e+07 6.87816e+08 1.53804e+11
3 40 0.198757 0.208125 0.198064 427.44 246.615 418.824 8.61527 2.73898e+14 1.87683e+13 2.01969e+13 -0.0939517 0.00235934 0.00121141 3.89625e+07 6.87816e+08 1.53804e+11
3 41 0.208125 0.217933 0.207399 424.278 240.781 415.659 8.61891 2.71156e+14 1.85804e+13 2.00044e+13 -0.100198 0.002358 0.0012154 4.21237e+07 6.87816e+08 1.53804e+11
3 42 0.217933 0.228204 0.217173 420.992 234.879 412.37 8.62275 2.68313e+14 1.83857e+13 1.98047e+13 -0.10632 0.00235659 0.00121937 4.55049e+07 6.87816e+08 1.53804e+11
3 43 0.228204 0.238959 0.227408 417.579 228.943 408.952 8.62678 2.65368e+14 1.81838e+13 1.95978e+13 -0.112533 0.00235511 0.00122334 4.91186e+07 6.87816e+08 1.53804e+11
3 44 0.238959 0.250221 0.238126 414.033 222.993 405.402 8.63103 2.62318e+14 1.79748e+13 1.93834e+13 -0.118729 0.00235355 0.00122733 5.2978e+07 6.87816e+08 1.53804e+11
3 45 0.250221 0.262013 0.249348 410.353 216.989 401.717 8.63551 2.5916e+14 1.77585e+13 1.91615e+13 -0.125204 0.00235191 0.00123127 5.70958e+07 6.87816e+08 1.53804e+11
