# log $M_{PR}$, $\gamma_{PR}$, $\mu_{\lambda}$, $\tau_{RI}$
10.6317,0.823333,0.160833,12.6242
10.5917,0.996667,0.159167,19.7775
10.0983,1.31,0.140833,11.4158
10.1117,0.53,0.219167,10.4975
