#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
0 0.0315009 0.0329855 0.00525728 79.6848 954.492 76.3697 3.31501 507865 287077 14114.4 1.48977 9909.72 1.58624e+06 7.24718 0.205565 3.01956e+13 3.69678e+14 3.27562e+13 5.61992 0 0 409.315 1634.54 1.36092 5.43463 0.0170788 0.00569374 3.95737e+10 9.98021e+11
1 0.0329855 0.0345401 0.00550505 79.6578 954.405 76.3428 3.31497 556819 601821 29584.5 1.71043 9909.25 1.58619e+06 1.07351 0.205555 3.01885e+13 3.69592e+14 3.27478e+13 5.62222 0 0 448.656 1791.06 1.36047 5.43105 0.0170789 0.0056905 3.95737e+10 9.98021e+11
2 0.0345401 0.0361679 0.00576449 79.6296 953.007 76.3147 3.31494 610490 946427 46540 1.96378 9908.76 1.58614e+06 1.23256 0.205545 3.01811e+13 3.69501e+14 3.27391e+13 5.6154 0 0 491.77 1962.5 1.35999 5.4273 0.017079 0.00569492 3.95737e+10 9.98021e+11
3 0.0361679 0.0378724 0.00603616 79.6001 951.528 76.2852 3.31491 669331 1.32369e+06 65123.2 2.25464 9908.24 1.58609e+06 1.41516 0.205534 3.01734e+13 3.69406e+14 3.273e+13 5.61037 0 0 539.019 2150.28 1.3595 5.42336 0.0170791 0.00569963 3.95737e+10 9.98021e+11
4 0.0378724 0.0396573 0.00632064 79.5692 950.011 76.2543 3.31487 733841 1.7367e+06 85490.1 2.58858 9907.7 1.58603e+06 1.62482 0.205523 3.01653e+13 3.69307e+14 3.27204e+13 5.60634 0 0 590.797 2355.96 1.35898 5.41928 0.0170792 0.00570445 3.95737e+10 9.98021e+11
5 0.0396573 0.0415263 0.00661852 79.5368 948.443 76.222 3.31483 804565 2.1888e+06 107811 2.97198 9907.14 1.58597e+06 1.86554 0.205512 3.01568e+13 3.69203e+14 3.27104e+13 5.59925 0 0 647.537 2581.24 1.35844 5.41505 0.0170793 0.00570941 3.95737e+10 9.98021e+11
6 0.0415263 0.0434834 0.00693044 79.503 946.764 76.1882 3.3148 882102 2.68364e+06 132274 3.41214 9906.55 1.5859e+06 2.14194 0.205499 3.01479e+13 3.69094e+14 3.26999e+13 5.58861 0 0 709.713 2827.93 1.35787 5.41057 0.0170794 0.0057148 3.95737e+10 9.98021e+11
7 0.0434834 0.0455327 0.00725707 79.4676 945.106 76.1528 3.31475 967106 3.22528e+06 159082 3.91749 9905.93 1.58584e+06 2.45926 0.205487 3.01386e+13 3.6898e+14 3.26889e+13 5.58316 0 0 777.844 3098.16 1.35727 5.40602 0.0170796 0.00572002 3.95737e+10 9.98021e+11
8 0.0455327 0.0476786 0.00759908 79.4305 943.303 76.1158 3.31471 1.0603e+06 3.81803e+06 188461 4.49767 9905.28 1.58577e+06 2.82361 0.205473 3.01288e+13 3.6886e+14 3.26774e+13 5.57825 0 0 852.498 3394.02 1.35665 5.40118 0.0170797 0.00572582 3.95737e+10 9.98021e+11
9 0.0476786 0.0499256 0.00795721 79.3917 941.424 76.077 3.31467 1.16246e+06 4.46668e+06 220656 5.16375 9904.6 1.5857e+06 3.24195 0.205459 3.01186e+13 3.68736e+14 3.26654e+13 5.569 0 0 934.296 3717.99 1.356 5.39613 0.0170799 0.00573188 3.95737e+10 9.98021e+11
10 0.0499256 0.0522785 0.00833223 79.351 939.526 76.0364 3.31462 1.27446e+06 5.17648e+06 255936 5.92847 9903.89 1.58562e+06 3.72226 0.205444 3.01079e+13 3.68605e+14 3.26528e+13 5.55828 0 0 1023.92 4072.78 1.35532 5.39094 0.01708 0.00573794 3.95737e+10 9.98021e+11
11 0.0522785 0.0547423 0.00872491 79.3085 937.525 75.9939 3.31457 1.39725e+06 5.9531e+06 294595 6.80641 9903.15 1.58554e+06 4.27372 0.205429 3.00968e+13 3.68468e+14 3.26397e+13 5.55212 0 0 1122.12 4461.21 1.3546 5.38551 0.0170802 0.00574439 3.95737e+10 9.98021e+11
12 0.0547423 0.0573223 0.0091361 79.264 935.449 75.9495 3.31452 1.53185e+06 6.80276e+06 336956 7.81435 9902.37 1.58546e+06 4.90689 0.205412 3.00851e+13 3.68325e+14 3.26259e+13 5.54429 0 0 1229.7 4886.48 1.35385 5.37986 0.0170803 0.00575109 3.95737e+10 9.98021e+11
13 0.0573223 0.0600238 0.00956668 79.2174 933.255 75.903 3.31446 1.67941e+06 7.73221e+06 383372 8.97152 9901.55 1.58537e+06 5.63387 0.205395 3.00728e+13 3.68175e+14 3.26114e+13 5.53114 0 0 1347.56 5352.01 1.35307 5.37392 0.0170805 0.00575825 3.95737e+10 9.98021e+11
14 0.0600238 0.0628526 0.0100175 79.1687 931.052 75.8543 3.31441 1.84118e+06 8.74893e+06 434229 10.3 9900.7 1.58528e+06 6.46854 0.205378 3.006e+13 3.68018e+14 3.25963e+13 5.52465 0 0 1476.67 5861.73 1.35226 5.36785 0.0170807 0.00576536 3.95737e+10 9.98021e+11
15 0.0628526 0.0658148 0.0104897 79.1177 928.721 75.8034 3.31435 2.01851e+06 9.86094e+06 489951 11.8252 9899.8 1.58518e+06 7.42687 0.20536 3.00466e+13 3.67853e+14 3.25805e+13 5.51412 0 0 1618.11 6419.63 1.3514 5.36147 0.0170809 0.00577296 3.95737e+10 9.98021e+11
16 0.0658148 0.0689165 0.010984 79.0643 926.313 75.75 3.31428 2.21291e+06 1.10771e+07 551001 13.5762 9898.87 1.58508e+06 8.52719 0.20534 3.00325e+13 3.67681e+14 3.2564e+13 5.50197 0 0 1773.05 7030.3 1.3505 5.35486 0.0170811 0.00578083 3.95737e+10 9.98021e+11
17 0.0689165 0.0721645 0.0115017 79.0085 923.762 75.6943 3.31422 2.42601e+06 1.24069e+07 617885 15.5864 9897.89 1.58498e+06 9.79053 0.20532 3.00178e+13 3.67501e+14 3.25467e+13 5.495 0 0 1942.76 7698.55 1.34957 5.3479 0.0170813 0.00578926 3.95737e+10 9.98021e+11
18 0.0721645 0.0755655 0.0120437 78.9501 921.204 75.6359 3.31415 2.65961e+06 1.38609e+07 691158 17.8941 9896.86 1.58487e+06 11.2414 0.205293 3.00024e+13 3.67313e+14 3.25285e+13 5.47871 0 0 2128.65 8430.09 1.34858 5.3408 0.0170815 0.00579763 3.95737e+10 9.98021e+11
19 0.0755655 0.0791268 0.0126113 78.8889 918.472 75.5748 3.31408 2.91569e+06 1.54506e+07 771427 20.5435 9895.79 1.58476e+06 12.9055 0.205291 2.99863e+13 3.67116e+14 3.25096e+13 5.47066 0 0 2332.24 9230.43 1.34756 5.3333 0.0170817 0.00580671 3.95737e+10 9.98021e+11
20 0.0791268 0.0828559 0.0132057 78.8249 915.67 75.5109 3.314 3.19639e+06 1.71882e+07 859357 23.5851 9894.66 1.58464e+06 14.8159 0.20529 2.99695e+13 3.66909e+14 3.24897e+13 5.45418 0 0 2555.21 10106.3 1.34648 5.32555 0.0170819 0.00581602 3.95737e+10 9.98021e+11
21 0.0828559 0.0867608 0.0138281 78.758 912.7 75.4441 3.31393 3.50408e+06 1.90873e+07 955674 27.0768 9893.48 1.58451e+06 17.009 0.205288 2.99518e+13 3.66693e+14 3.2469e+13 5.44448 0 0 2799.39 11064.3 1.34536 5.31739 0.0170822 0.005826 3.95737e+10 9.98021e+11
22 0.0867608 0.0908497 0.0144798 78.688 908.957 75.3741 3.31384 3.84136e+06 2.11611e+07 1.06117e+06 31.0854 9892.25 1.58438e+06 19.5267 0.205287 2.99333e+13 3.66467e+14 3.24472e+13 5.42859 0 0 3066.79 12109.7 1.34418 5.30772 0.0170825 0.00583936 3.95737e+10 9.98021e+11
23 0.0908497 0.0951313 0.0151622 78.6147 904.24 75.3009 3.31376 4.21106e+06 2.34232e+07 1.17673e+06 35.6872 9890.96 1.58424e+06 22.4169 0.205285 2.9914e+13 3.66231e+14 3.24245e+13 5.40446 0 0 3359.59 13249 1.34295 5.29613 0.0170827 0.00585699 3.95737e+10 9.98021e+11
24 0.0951313 0.0996147 0.0158767 78.538 899.423 75.2244 3.31367 4.6163e+06 2.58904e+07 1.30328e+06 40.9701 9889.61 1.5841e+06 25.7349 0.205282 2.98938e+13 3.65983e+14 3.24007e+13 5.37933 0 0 3680.19 14494.4 1.34167 5.28413 0.017083 0.00587502 3.95737e+10 9.98021e+11
25 0.0996147 0.104309 0.016625 78.4579 894.494 75.1443 3.31357 5.06048e+06 2.85807e+07 1.44188e+06 47.0349 9888.2 1.58395e+06 29.5436 0.20528 2.98726e+13 3.65724e+14 3.23758e+13 5.35315 0 0 4031.2 15855.4 1.34032 5.2717 0.0170833 0.0058935 3.95737e+10 9.98021e+11
26 0.104309 0.109225 0.0174085 78.374 889.388 75.0605 3.31347 5.54734e+06 3.15137e+07 1.59366e+06 53.9971 9886.72 1.58379e+06 33.9158 0.205279 2.98505e+13 3.65453e+14 3.23497e+13 5.32681 0 0 4415.48 17342.2 1.33891 5.2587 0.0170836 0.00591272 3.95737e+10 9.98021e+11
27 0.109225 0.114373 0.0182289 78.2863 884.192 74.9729 3.31337 6.08097e+06 3.47109e+07 1.75986e+06 61.9895 9885.17 1.58362e+06 38.935 0.205276 2.98273e+13 3.65169e+14 3.23225e+13 5.30147 0 0 4836.15 18966.8 1.33744 5.24528 0.0170839 0.00593229 3.95737e+10 9.98021e+11
28 0.114373 0.119763 0.019088 78.1945 878.82 74.8812 3.31326 6.66585e+06 3.81953e+07 1.94185e+06 71.1645 9883.55 1.58345e+06 44.6965 0.205274 2.9803e+13 3.64872e+14 3.2294e+13 5.2752 0 0 5296.62 20741.2 1.3359 5.23127 0.0170843 0.00595261 3.95737e+10 9.98021e+11
29 0.119763 0.125407 0.0199876 78.0985 873.326 74.7854 3.31315 7.30689e+06 4.1992e+07 2.14111e+06 81.697 9881.85 1.58327e+06 51.3101 0.205272 2.97777e+13 3.64561e+14 3.22641e+13 5.24833 0 0 5800.62 22679.1 1.33429 5.21675 0.0170846 0.00597343 3.95737e+10 9.98021e+11
30 0.125407 0.131318 0.0209296 77.9982 867.679 74.6851 3.31303 8.00947e+06 4.6128e+07 2.35926e+06 93.7878 9880.07 1.58308e+06 58.9021 0.205269 2.97511e+13 3.64236e+14 3.22329e+13 5.22062 0 0 6352.22 24795.1 1.3326 5.20164 0.017085 0.00599489 3.95737e+10 9.98021e+11
31 0.131318 0.137507 0.021916 77.8932 861.881 74.5803 3.31291 8.77948e+06 5.06328e+07 2.59808e+06 107.667 9878.21 1.58288e+06 67.6168 0.205267 2.97233e+13 3.63896e+14 3.22003e+13 5.19204 0 0 6955.86 27105.2 1.33084 5.18594 0.0170854 0.006017 3.95737e+10 9.98021e+11
32 0.137507 0.143987 0.0229489 77.7834 855.934 74.4707 3.31277 9.62339e+06 5.55381e+07 2.85951e+06 123.6 9876.26 1.58267e+06 77.6202 0.205264 2.96943e+13 3.6354e+14 3.21661e+13 5.1626 0 0 7616.38 29626.8 1.32899 5.16962 0.0170858 0.00603974 3.95737e+10 9.98021e+11
33 0.143987 0.150773 0.0240304 77.6686 849.858 74.356 3.31264 1.05482e+07 6.08785e+07 3.14567e+06 141.889 9874.23 1.58245e+06 89.1028 0.205261 2.96638e+13 3.63168e+14 3.21304e+13 5.13249 0 0 8339.08 32378.8 1.32707 5.15271 0.0170862 0.00606302 3.95737e+10 9.98021e+11
