#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 65 0.538721 0.0057449 0 0 0.0057449 0.56411 0 0 0 0 0 10 17.7781
3 66 0.56411 0.00514797 0 0 0.00514797 0.590696 0 0 0 0 0 10 18.6159
3 67 0.590696 0.00459144 0 0 0.00459144 0.618534 0 0 0 0 0 10 19.4933
3 68 0.618534 0.00407506 0 0 0.00407506 0.647685 0 0 0 0 0 10 20.412
3 69 0.647685 0.00359834 0 0 0.00359834 0.678209 0 0 0 0 0 10 21.374
3 70 0.678209 0.00316052 0 0 0.00316052 0.710172 0 0 0 0 0 10 22.3813
3 71 0.710172 0.0027606 0 0 0.0027606 0.743642 0 0 0 0 0 10 23.4361
3 72 0.743642 0.00239737 0 0 0.00239737 0.778689 0 0 0 0 0 10 24.5406
3 73 0.778689 0.0020694 0 0 0.0020694 0.815387 0 0 0 0 0 10 25.6971
3 74 0.815387 0.00177509 0 0 0.00177509 0.853815 0 0 0 0 0 10 26.9082
3 75 0.853815 0.00151267 0 0 0.00151267 0.894054 0 0 0 0 0 10 28.1764
3 76 0.894054 0.00128025 0 0 0.00128025 0.936189 0 0 0 0 0 10 29.5043
3 77 0.936189 0.00107582 0 0 0.00107582 0.980311 0 0 0 0 0 10 30.8948
3 78 0.980311 0.000897316 0 0 0.000897316 1.02651 0 0 0 0 0 10 32.3508
3 79 1.02651 0.000742632 0 0 0.000742632 1.07489 0 0 0 0 0 10 33.8754
3 80 1.07489 0.000609642 0 0 0.000609642 1.12555 0 0 0 0 0 10 35.4719
3 81 1.12555 0.000496245 0 0 0.000496245 1.17859 0 0 0 0 0 10 37.1437
3 82 1.17859 0.000400382 0 0 0.000400382 1.23414 0 0 0 0 0 10 38.8942
3 83 1.23414 0.000320069 0 0 0.000320069 1.2923 0 0 0 0 0 10 40.7272
3 84 1.2923 0.00025341 0 0 0.00025341 1.35321 0 0 0 0 0 10 42.6466
3 85 1.35321 0.000198625 0 0 0.000198625 1.41698 0 0 0 0 0 10 44.6565
3 86 1.41698 0.000154055 0 0 0.000154055 1.48376 0 0 0 0 0 10 46.7611
3 87 1.48376 0.000118182 0 0 0.000118182 1.55369 0 0 0 0 0 10 48.9649
3 88 1.55369 8.96284e-05 0 0 8.96284e-05 1.62691 0 0 0 0 0 10 51.2725
3 89 1.62691 6.7164e-05 0 0 6.7164e-05 1.70358 0 0 0 0 0 10 53.6889
3 90 1.70358 4.97041e-05 0 0 4.97041e-05 1.78387 0 0 0 0 0 10 56.2192
3 91 1.78387 3.63051e-05 0 0 3.63051e-05 1.86794 0 0 0 0 0 10 58.8688
3 92 1.86794 2.61583e-05 0 0 2.61583e-05 1.95598 0 0 0 0 0 10 61.6432
3 93 1.95598 1.85801e-05 0 0 1.85801e-05 2.04816 0 0 0 0 0 10 64.5483
3 94 2.04816 1.30019e-05 0 0 1.30019e-05 2.14469 0 0 0 0 0 10 67.5904
3 95 2.14469 8.95754e-06 0 0 8.95754e-06 2.24576 0 0 0 0 0 10 70.7758
3 96 2.24576 6.0714e-06 0 0 6.0714e-06 2.3516 0 0 0 0 0 10 74.1114
3 97 2.3516 4.04562e-06 0 0 4.04562e-06 2.46243 0 0 0 0 0 10 77.6041
3 98 2.46243 2.64813e-06 0 0 2.64813e-06 2.57848 0 0 0 0 0 10 81.2615
3 99 2.57848 1.70137e-06 0 0 1.70137e-06 2.7 0 0 0 0 0 10 85.0912
3 100 2.7 1.072e-06 0 0 1.072e-06 2.82725 0 0 0 0 0 10 89.1015
3 101 2.82725 6.61822e-07 0 0 6.61822e-07 2.96049 0 0 0 0 0 10 93.3007
3 102 2.96049 3.99971e-07 0 0 3.99971e-07 3.10001 0 0 0 0 0 10 97.6978
3 103 3.10001 2.36393e-07 0 0 2.36393e-07 3.24611 0 0 0 0 0 10 102.302
3 104 3.24611 1.36494e-07 0 0 1.36494e-07 3.3991 0 0 0 0 0 10 107.124
3 105 3.3991 7.69125e-08 0 0 7.69125e-08 3.55929 0 0 0 0 0 10 112.172
3 106 3.55929 4.22473e-08 0 0 4.22473e-08 3.72704 0 0 0 0 0 10 117.459
3 107 3.72704 2.25947e-08 0 0 2.25947e-08 3.90269 0 0 0 0 0 10 122.994
3 108 3.90269 1.17512e-08 0 0 1.17512e-08 4.08662 0 0 0 0 0 10 128.791
3 109 4.08662 5.93567e-09 0 0 5.93567e-09 4.27921 0 0 0 0 0 10 134.861
3 110 4.27921 2.90788e-09 0 0 2.90788e-09 4.48088 0 0 0 0 0 10 141.216
3 111 4.48088 1.3797e-09 0 0 1.3797e-09 4.69206 0 0 0 0 0 10 147.872
3 112 4.69206 6.33075e-10 0 0 6.33075e-10 4.91319 0 0 0 0 0 10 154.841
3 113 4.91319 2.80484e-10 0 0 2.80484e-10 5.14474 0 0 0 0 0 10 162.138
3 114 5.14474 1.19794e-10 0 0 1.19794e-10 5.38721 0 0 0 0 0 10 169.779
3 115 5.38721 4.92375e-11 0 0 4.92375e-11 5.6411 0 0 0 0 0 10 177.781
3 116 5.6411 1.94408e-11 0 0 1.94408e-11 5.90696 0 0 0 0 0 10 186.159
3 117 5.90696 7.35998e-12 0 0 7.35998e-12 6.18534 0 0 0 0 0 10 194.933
3 118 6.18534 2.66643e-12 0 0 2.66643e-12 6.47685 0 0 0 0 0 10 204.12
3 119 6.47685 9.22538e-13 0 0 9.22538e-13 6.78209 0 0 0 0 0 10 213.74
3 120 6.78209 3.04161e-13 0 0 3.04161e-13 7.10172 0 0 0 0 0 10 223.813
3 121 7.10172 9.53473e-14 0 0 9.53473e-14 7.43642 0 0 0 0 0 10 234.361
3 122 7.43642 2.83514e-14 0 0 2.83514e-14 7.78689 0 0 0 0 0 10 245.406
3 123 7.78689 7.97682e-15 0 0 7.97682e-15 8.15387 0 0 0 0 0 10 256.971
3 124 8.15387 2.1181e-15 0 0 2.1181e-15 8.53815 0 0 0 0 0 10 269.082
3 125 8.53815 5.2936e-16 0 0 5.2936e-16 8.94054 0 0 0 0 0 10 281.764
3 126 8.94054 1.24167e-16 0 0 1.24167e-16 9.36189 0 0 0 0 0 10 295.043
3 127 9.36189 2.72535e-17 0 0 2.72535e-17 9.80311 0 0 0 0 0 10 308.948
3 128 9.80311 5.58016e-18 0 0 5.58016e-18 10.2651 0 0 0 0 0 10 323.508
