#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
30 0.107489 177.337 0 0 177.337 0.112555 2.06815e+06 0 7.45294e+06 274.871 34146.7 16869.8 6551.15 0.00198843 0 0 1.39557e+10 0 0 0 0 0 0 0 0 10 3.54719
31 0.112555 174.293 0 0 174.293 0.117859 2.26379e+06 0 8.12214e+06 303.885 32793.1 17274.3 6898.46 0.00219007 0 0 1.3903e+10 0 0 0 0 0 0 0 0 10 3.71437
32 0.117859 171.187 0 0 171.187 0.123414 2.47775e+06 0 8.84281e+06 335.869 31486.6 17686 7262.66 0.00241188 0 0 1.38481e+10 0 0 0 0 0 0 0 0 10 3.88942
33 0.123414 168.021 0 0 168.021 0.12923 2.7117e+06 0 9.61841e+06 371.122 30225.7 18104.9 7644.44 0.00270477 0 0 1.37908e+10 0 0 0 0 0 0 0 0 10 4.07272
34 0.12923 164.798 0 0 164.798 0.135321 2.96749e+06 0 1.04525e+07 409.968 29008.9 18531 8044.53 0.00304928 0 0 1.3731e+10 0 0 0 0 0 0 0 0 10 4.26466
35 0.135321 161.52 0 0 161.52 0.141698 3.24712e+06 0 1.13489e+07 452.764 27834.8 18964.3 8463.65 0.00343667 0 0 1.36687e+10 0 0 0 0 0 0 0 0 10 4.46565
36 0.141698 158.188 0 0 158.188 0.148376 3.55276e+06 0 1.23115e+07 499.901 26702.1 19404.8 8902.56 0.00387218 0 0 1.36038e+10 0 0 0 0 0 0 0 0 10 4.67611
37 0.148376 154.805 0 0 154.805 0.155369 3.88679e+06 0 1.33444e+07 551.807 25609.4 19852.4 9362.02 0.00436158 0 0 1.35361e+10 0 0 0 0 0 0 0 0 10 4.89649
38 0.155369 151.373 0 0 151.373 0.162691 4.25179e+06 0 1.44518e+07 608.95 24555.6 20307 9842.82 0.00488659 0 0 1.34656e+10 0 0 0 0 0 0 0 0 10 5.12725
39 0.162691 147.897 0 0 147.897 0.170358 4.65057e+06 0 1.56382e+07 671.844 23539.2 20768.6 10345.7 0.00546542 0 0 1.33922e+10 0 0 0 0 0 0 0 0 10 5.36889
40 0.170358 144.379 0 0 144.379 0.178387 5.08619e+06 0 1.69081e+07 741.049 22559.3 21237.1 10871.6 0.00611117 0 0 1.33158e+10 0 0 0 0 0 0 0 0 10 5.62192
41 0.178387 140.822 0 0 140.822 0.186794 5.56197e+06 0 1.82662e+07 817.18 21614.5 21712.5 11144.4 0.0068313 0 0 1.32362e+10 0 0 0 0 0 0 0 0 10 5.88688
42 0.186794 137.229 0 0 137.229 0.195598 6.08152e+06 0 1.97174e+07 900.907 20703.8 22194.5 10967.4 0.00763418 0 0 1.31534e+10 0 0 0 0 0 0 0 0 10 6.16432
43 0.195598 133.605 0 0 133.605 0.204816 6.64876e+06 0 2.12665e+07 992.963 19826.1 22683.1 10821.6 0.00850668 0 0 1.30672e+10 0 0 0 0 0 0 0 0 10 6.45483
