#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
18 0.0721645 0.0755655 0.0211119 205.177 16671.4 204.531 0.646043 2.65961e+06 2.65824e+08 3.02223e+06 5995.86 2.63629e+06 84130.8 1.06149e+06 2.94537e-05 1.07372e+14 9.83035e+10 1.89729e+12 7.94151 0 0 40965.4 1.41688e+06 25.9532 897.651 0.126492 0.0538439 1.17223e+11 9.98021e+11
19 0.0755655 0.0791268 0.0221069 205.05 16446.7 204.403 0.646789 2.91569e+06 2.94288e+08 3.37383e+06 6677.91 2.54752e+06 86504.3 1.12471e+06 3.11443e-05 1.07282e+14 9.82213e+10 1.89619e+12 7.91238 0 0 44827.1 1.53218e+06 25.9009 885.288 0.126315 0.0538277 1.17223e+11 9.98021e+11
20 0.0791268 0.0828559 0.0231488 204.917 16217.9 204.269 0.647564 3.19639e+06 3.25065e+08 3.7591e+06 7434.58 2.46157e+06 88940.6 1.1916e+06 3.29328e-05 1.07188e+14 9.81353e+10 1.89503e+12 7.88229 0 0 49048.9 1.65611e+06 25.8466 872.697 0.126132 0.0538108 1.17223e+11 9.98021e+11
21 0.0828559 0.0867608 0.0242398 204.778 15985 204.13 0.648366 3.50408e+06 3.58326e+08 4.18126e+06 8273.97 2.37834e+06 91441.1 1.26239e+06 3.56313e-05 1.0709e+14 9.80457e+10 1.89382e+12 7.851 0 0 53664.2 1.78923e+06 25.7905 859.886 0.125943 0.0537931 1.17223e+11 9.98021e+11
22 0.0867608 0.0908497 0.0253821 204.633 15748.4 203.984 0.649195 3.84136e+06 3.94257e+08 4.64381e+06 9205.08 2.29776e+06 94007.3 1.33729e+06 3.78979e-05 1.06988e+14 9.79521e+10 1.89255e+12 7.81857 0 0 58709.1 1.93214e+06 25.7324 846.863 0.125749 0.0537746 1.17223e+11 9.98021e+11
23 0.0908497 0.0951313 0.0265784 204.482 15508 203.832 0.650055 4.21106e+06 4.33052e+08 5.15063e+06 10237.8 2.21974e+06 96640.8 1.41652e+06 4.03099e-05 1.06881e+14 9.78544e+10 1.89122e+12 7.78508 0 0 64222.5 2.08547e+06 25.6721 833.639 0.125547 0.0537553 1.17223e+11 9.98021e+11
24 0.0951313 0.0996147 0.027831 204.325 15264.2 203.674 0.650944 4.6163e+06 4.74922e+08 5.7059e+06 11383.2 2.14421e+06 99343 1.50033e+06 4.28767e-05 1.0677e+14 9.77525e+10 1.88984e+12 7.75033 0 0 70248 2.24987e+06 25.6099 820.223 0.125339 0.0537351 1.17223e+11 9.98021e+11
25 0.0996147 0.104309 0.0291426 204.16 15017.1 203.508 0.651862 5.06048e+06 5.20088e+08 6.31426e+06 12653.5 2.07109e+06 102115 1.58898e+06 4.60691e-05 1.06654e+14 9.76463e+10 1.88838e+12 7.71435 0 0 76831.9 2.42604e+06 25.5456 806.627 0.125125 0.053714 1.17223e+11 9.98021e+11
26 0.104309 0.109225 0.030516 203.988 14766.9 203.336 0.652814 5.54734e+06 5.68786e+08 6.98076e+06 14062.1 2.0003e+06 104960 1.68274e+06 4.84805e-05 1.06533e+14 9.75353e+10 1.88686e+12 7.67723 0 0 84025 2.61471e+06 25.479 792.862 0.124904 0.0536919 1.17223e+11 9.98021e+11
27 0.109225 0.114373 0.0319542 203.809 14513.8 203.155 0.653797 6.08097e+06 6.21268e+08 7.71091e+06 15624 1.93177e+06 107877 1.78187e+06 5.10206e-05 1.06406e+14 9.74196e+10 1.88527e+12 7.6388 0 0 91883 2.81663e+06 25.4103 778.939 0.124677 0.0536688 1.17223e+11 9.98021e+11
28 0.114373 0.119763 0.0334602 203.622 14258.1 202.967 0.654811 6.66585e+06 6.77799e+08 8.51077e+06 17355.7 1.86544e+06 110870 1.8867e+06 5.36967e-05 1.06275e+14 9.72989e+10 1.88361e+12 7.59908 0 0 100466 3.0326e+06 25.3393 764.872 0.124443 0.0536447 1.17223e+11 9.98021e+11
29 0.119763 0.125407 0.0350371 203.427 14000 202.771 0.65586 7.30689e+06 7.38662e+08 9.38696e+06 19275.6 1.80123e+06 113939 1.99752e+06 5.73867e-05 1.06137e+14 9.71731e+10 1.88187e+12 7.55805 0 0 109840 3.26345e+06 25.266 750.673 0.124202 0.0536195 1.17223e+11 9.98021e+11
30 0.125407 0.131318 0.0366884 203.223 13739.7 202.567 0.656943 8.00947e+06 8.04156e+08 1.03467e+07 21403.8 1.73909e+06 117086 2.11467e+06 6.00893e-05 1.05994e+14 9.70418e+10 1.88005e+12 7.51576 0 0 120077 3.51005e+06 25.1903 736.356 0.123954 0.0535932 1.17223e+11 9.98021e+11
31 0.131318 0.137507 0.0384174 203.011 13477.6 202.353 0.658061 8.77948e+06 8.74599e+08 1.1398e+07 23762.8 1.67894e+06 120314 2.23849e+06 6.29229e-05 1.05844e+14 9.69049e+10 1.87815e+12 7.47211 0 0 131253 3.77332e+06 25.1122 721.935 0.123699 0.0535657 1.17223e+11 9.98021e+11
32 0.137507 0.143987 0.040228 202.789 13213.7 202.13 0.659214 9.62339e+06 9.50326e+08 1.25494e+07 26377.3 1.62072e+06 123622 2.36935e+06 6.58948e-05 1.05688e+14 9.67621e+10 1.87615e+12 7.42709 0 0 143454 4.05419e+06 25.0316 707.422 0.123436 0.053537 1.17223e+11 9.98021e+11
33 0.143987 0.150773 0.0421239 202.558 12948.5 201.898 0.660404 1.05482e+07 1.03169e+09 1.38105e+07 29274.9 1.56438e+06 127014 2.50762e+06 6.89518e-05 1.05526e+14 9.66133e+10 1.87407e+12 7.38069 0 0 156772 4.35366e+06 24.9485 692.834 0.123167 0.053507 1.17223e+11 9.98021e+11
34 0.150773 0.157879 0.0441091 202.317 12682.1 201.656 0.661631 1.15618e+07 1.11907e+09 1.51916e+07 32485.8 1.50985e+06 130491 2.65372e+06 7.22008e-05 1.05356e+14 9.64581e+10 1.87189e+12 7.33289 0 0 171307 4.67274e+06 24.8628 678.182 0.12289 0.0534756 1.17223e+11 9.98021e+11
35 0.157879 0.165319 0.0461879 202.066 12414.8 201.403 0.662896 1.26725e+07 1.21287e+09 1.6704e+07 36043.6 1.45709e+06 134055 2.80806e+06 7.56084e-05 1.0518e+14 9.62964e+10 1.86961e+12 7.28368 0 0 187167 5.01251e+06 24.7745 663.482 0.122606 0.0534429 1.17223e+11 9.98021e+11
36 0.165319 0.17311 0.0483647 201.804 12146.8 201.139 0.664201 1.38898e+07 1.31349e+09 1.83602e+07 39985.4 1.40603e+06 137707 2.97109e+06 7.91824e-05 1.04995e+14 9.61277e+10 1.86723e+12 7.23306 0 0 204471 5.37405e+06 24.6834 648.748 0.122314 0.0534087 1.17223e+11 9.98021e+11
37 0.17311 0.181269 0.050644 201.53 11878.5 200.865 0.665545 1.52236e+07 1.42138e+09 2.01738e+07 44352.1 1.35662e+06 141449 3.14326e+06 8.30007e-05 1.04803e+14 9.5952e+10 1.86473e+12 7.18099 0 0 223346 5.7585e+06 24.5896 633.992 0.122015 0.053373 1.17223e+11 9.98021e+11
38 0.181269 0.189812 0.0530308 201.245 11610 200.578 0.666931 1.66852e+07 1.537e+09 2.21595e+07 49189.1 1.30882e+06 145282 3.32507e+06 8.69571e-05 1.04603e+14 9.57688e+10 1.86213e+12 7.12743 0 0 243931 6.16705e+06 24.493 619.23 0.121707 0.0533358 1.17223e+11 9.98021e+11
39 0.189812 0.198757 0.0555301 200.948 11341.6 200.279 0.668358 1.82868e+07 1.66086e+09 2.43335e+07 54546.4 1.26257e+06 149209 3.51703e+06 9.11094e-05 1.04395e+14 9.55778e+10 1.8594e+12 7.07239 0 0 266379 6.6009e+06 24.3935 604.474 0.121392 0.0532968 1.17223e+11 9.98021e+11
40 0.198757 0.208125 0.0581471 200.637 11073.6 199.968 0.669829 2.00417e+07 1.79345e+09 2.67137e+07 60479.5 1.21783e+06 153232 3.71968e+06 9.54675e-05 1.04177e+14 9.53788e+10 1.85655e+12 7.01584 0 0 290851 7.06129e+06 24.291 589.737 0.121069 0.0532562 1.17223e+11 9.98021e+11
41 0.208125 0.217933 0.0608875 200.314 10806.1 199.643 0.671345 2.19645e+07 1.93532e+09 2.93192e+07 67049.4 1.17454e+06 157351 3.93357e+06 0.000100042 1.03951e+14 9.51714e+10 1.85357e+12 6.95776 0 0 317527 7.54949e+06 24.1855 575.032 0.120738 0.0532138 1.17223e+11 9.98021e+11
42 0.217933 0.228204 0.063757 199.977 10539.3 199.304 0.672906 2.40712e+07 2.08704e+09 3.21713e+07 74323.8 1.13266e+06 161569 4.1593e+06 0.000104844 1.03715e+14 9.49553e+10 1.85046e+12 6.89815 0 0 346598 8.0668e+06 24.0769 560.371 0.120398 0.0531694 1.17223e+11 9.98021e+11
43 0.228204 0.238959 0.0667618 199.625 10273.6 198.95 0.674514 2.63794e+07 2.2492e+09 3.52931e+07 82377.1 1.09215e+06 165888 4.39748e+06 0.000109886 1.03469e+14 9.47301e+10 1.8472e+12 6.83696 0 0 378272 8.61454e+06 23.9651 545.766 0.120051 0.0531231 1.17223e+11 9.98021e+11
44 0.238959 0.250221 0.0699082 199.258 10009.1 198.582 0.676171 2.89082e+07 2.42243e+09 3.87098e+07 91291.9 1.05297e+06 170309 4.64876e+06 0.000115181 1.03213e+14 9.44954e+10 1.8438e+12 6.77419 0 0 412776 9.19405e+06 23.85 531.228 0.119694 0.0530748 1.17223e+11 9.98021e+11
45 0.250221 0.262013 0.0732029 198.876 9745.89 198.198 0.677877 3.16785e+07 2.60737e+09 4.24489e+07 101159 1.01507e+06 174833 4.91381e+06 0.00012074 1.02945e+14 9.42509e+10 1.84024e+12 6.70981 0 0 450353 9.80668e+06 23.7316 516.769 0.119329 0.0530243 1.17223e+11 9.98021e+11
46 0.262013 0.274362 0.0766528 198.477 9484.3 197.798 0.679635 3.47134e+07 2.80472e+09 4.65406e+07 112079 978423 179464 5.19335e+06 0.000129035 1.02667e+14 9.39961e+10 1.83652e+12 6.64379 0 0 491267 1.04538e+07 23.6098 502.398 0.118955 0.0529715 1.17223e+11 9.98021e+11
47 0.274362 0.287292 0.0802654 198.061 9224.47 197.38 0.681447 3.8038e+07 3.01518e+09 5.10176e+07 124163 942977 184201 5.4881e+06 0.000135995 1.02377e+14 9.37306e+10 1.83264e+12 6.57612 0 0 535802 1.11367e+07 23.4844 488.126 0.118571 0.0529164 1.17223e+11 9.98021e+11
48 0.287292 0.300832 0.0840482 197.628 8966.57 196.945 0.683314 4.16797e+07 3.23949e+09 5.59158e+07 137532 908700 189048 5.79884e+06 0.000143342 1.02075e+14 9.34541e+10 1.82858e+12 6.50677 0 0 584268 1.18569e+07 23.3553 473.962 0.118178 0.0528588 1.17223e+11 9.98021e+11
49 0.300832 0.315009 0.0880092 197.176 8710.77 196.491 0.685239 4.56686e+07 3.47843e+09 6.12743e+07 152322 875555 194006 6.12638e+06 0.000151097 1.0176e+14 9.3166e+10 1.82434e+12 6.4357 0 0 636996 1.26155e+07 23.2226 459.917 0.117776 0.0527986 1.17223e+11 9.98021e+11
50 0.315009 0.329855 0.092157 196.705 8457.22 196.018 0.687223 5.00376e+07 3.73279e+09 6.71357e+07 168682 843506 199075 6.47156e+06 0.000159284 1.01433e+14 9.28658e+10 1.81991e+12 6.36288 0 0 694344 1.3414e+07 23.086 445.998 0.117364 0.0527358 1.17223e+11 9.98021e+11
51 0.329855 0.345401 0.0965002 196.213 8206.09 195.524 0.689268 5.48227e+07 4.00341e+09 7.35466e+07 186776 812520 204259 6.83526e+06 0.000175891 1.01091e+14 9.25531e+10 1.81528e+12 6.28829 0 0 756699 1.42536e+07 22.9455 432.215 0.116942 0.05267 1.17223e+11 9.98021e+11
52 0.345401 0.361679 0.101048 195.701 7957.51 195.01 0.691377 6.00632e+07 4.29115e+09 8.05577e+07 206785 782564 209559 7.21839e+06 0.000191242 1.00735e+14 9.22274e+10 1.81045e+12 6.21189 0 0 824476 1.51356e+07 22.8009 418.576 0.116509 0.0526013 1.17223e+11 9.98021e+11
53 0.361679 0.378724 0.10581 195.167 7711.64 194.473 0.693553 6.58023e+07 4.59691e+09 8.82241e+07 228907 753605 214975 7.62192e+06 0.000207925 1.00365e+14 9.18881e+10 1.8054e+12 6.13365 0 0 898123 1.60611e+07 22.6522 405.089 0.116066 0.0525295 1.17223e+11 9.98021e+11
54 0.378724 0.396573 0.110797 194.61 7468.61 193.914 0.695798 7.20868e+07 4.9216e+09 9.66063e+07 253364 725612 220510 8.04684e+06 0.000226058 9.99788e+13 9.15348e+10 1.80013e+12 6.05354 0 0 978121 1.70313e+07 22.4992 391.761 0.115612 0.0524544 1.17223e+11 9.98021e+11
55 0.396573 0.415263 0.116019 194.029 7228.55 193.331 0.698114 7.89683e+07 5.26617e+09 1.0577e+08 280397 698555 226165 8.49418e+06 0.000245807 9.95769e+13 9.11668e+10 1.79463e+12 5.97152 0 0 1.06499e+06 1.80472e+07 22.3418 378.602 0.115147 0.0523759 1.17223e+11 9.98021e+11
56 0.415263 0.434834 0.121487 193.424 6991.61 192.724 0.700505 8.65029e+07 5.63159e+09 1.15786e+08 310273 672404 231942 8.96502e+06 0.000279639 9.91583e+13 9.07836e+10 1.78889e+12 5.88756 0 0 1.15927e+06 1.91097e+07 22.1799 365.618 0.11467 0.0522938 1.17223e+11 9.98021e+11
57 0.434834 0.455327 0.127212 192.793 6757.9 192.09 0.702974 9.47522e+07 6.01888e+09 1.26733e+08 343286 647132 237841 9.46049e+06 0.000318059 9.87224e+13 9.03845e+10 1.78289e+12 5.80163 0 0 1.26157e+06 2.02197e+07 22.0134 352.816 0.114181 0.052208 1.17223e+11 9.98021e+11
58 0.455327 0.476786 0.133207 192.135 6527.55 191.43 0.705523 1.03783e+08 6.42907e+09 1.38694e+08 379760 622710 243865 9.98175e+06 0.000361677 9.82686e+13 8.9969e+10 1.77664e+12 5.71369 0 0 1.37253e+06 2.13779e+07 21.8422 340.204 0.113681 0.0521182 1.17223e+11 9.98021e+11
59 0.476786 0.499256 0.139485 191.45 6300.68 190.742 0.708156 1.1367e+08 6.86319e+09 1.51764e+08 420051 599113 250014 1.053e+07 0.000411183 9.77962e+13 8.95365e+10 1.77011e+12 5.62371 0 0 1.49281e+06 2.2585e+07 21.6661 327.788 0.113168 0.0520243 1.17223e+11 9.98021e+11
60 0.499256 0.522785 0.146059 190.735 6077.4 190.024 0.710877 1.24491e+08 7.32233e+09 1.6604e+08 464550 576313 256290 1.11065e+07 0.000495442 9.73044e+13 8.90862e+10 1.76331e+12 5.53167 0 0 1.62316e+06 2.38413e+07 21.485 315.576 0.112643 0.0519261 1.17223e+11 9.98021e+11
61 0.522785 0.547423 0.152943 189.99 5857.83 189.277 0.713689 1.36336e+08 7.80757e+09 1.81633e+08 513689 554286 262693 1.17126e+07 0.00059147 9.67925e+13 8.86176e+10 1.75621e+12 5.43753 0 0 1.76433e+06 2.51471e+07 21.2988 303.572 0.112104 0.0518233 1.17223e+11 9.98021e+11
62 0.547423 0.573223 0.16015 189.214 5642.07 188.498 0.716597 1.49299e+08 8.32004e+09 1.9866e+08 567943 533009 269225 1.23497e+07 0.000705775 9.62599e+13 8.81299e+10 1.7488e+12 5.34127 0 0 1.91717e+06 2.65026e+07 21.1074 291.785 0.111553 0.0517159 1.17223e+11 9.98021e+11
63 0.573223 0.600238 0.167698 188.405 5430.23 187.686 0.719603 1.63485e+08 8.86085e+09 2.17251e+08 627832 512456 275886 1.3019e+07 0.000841761 9.57056e+13 8.76225e+10 1.74108e+12 5.24285 0 0 2.08254e+06 2.79076e+07 20.9106 280.219 0.110987 0.0516034 1.17223e+11 9.98021e+11
