#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
18 0.0721645 0.0755655 0.0485395 732.399 6295.61 727.767 4.63227 2.65961e+06 9.6096e+07 1.4079e+06 22.7755 12596.7 1.86137e+06 1.61957 1.81364 5.9351e+14 7.26621e+15 6.36062e+14 0.604766 0 0 13339.6 73151.9 8.45119 46.3447 0.011539 0.00736143 2.7425e+10 9.98021e+11
19 0.0755655 0.0791268 0.0508271 730.912 6258.6 726.279 4.63236 2.91569e+06 1.06928e+08 1.57508e+06 26.1476 12595.3 1.86123e+06 1.85943 1.81352 5.91842e+14 7.24579e+15 6.34312e+14 0.590599 0 0 14596.5 79819.8 8.4338 46.1195 0.0115387 0.00736898 2.7425e+10 9.98021e+11
20 0.0791268 0.0828559 0.0532225 729.358 6219.89 724.725 4.63244 3.19639e+06 1.18731e+08 1.75892e+06 30.0189 12593.9 1.86109e+06 2.13482 1.8134 5.901e+14 7.22447e+15 6.32484e+14 0.574861 0 0 15970.3 87073.8 8.41563 45.8841 0.0115384 0.00737699 2.7425e+10 9.98021e+11
21 0.0828559 0.0867608 0.0557308 727.734 6179.76 723.101 4.63253 3.50408e+06 1.3159e+08 1.96108e+06 34.4632 12592.4 1.86095e+06 2.45098 1.81327 5.88282e+14 7.20221e+15 6.30577e+14 0.558623 0 0 17471.5 94965.2 8.39664 45.6393 0.0115381 0.00738529 2.7425e+10 9.98021e+11
22 0.0867608 0.0908497 0.0583574 726.037 6138.19 721.405 4.63263 3.84136e+06 1.45594e+08 2.18342e+06 39.5653 12590.8 1.86079e+06 2.81397 1.81313 5.86385e+14 7.17898e+15 6.28585e+14 0.541952 0 0 19111.9 103547 8.37681 45.385 0.0115377 0.00739388 2.7425e+10 9.98021e+11
23 0.0908497 0.0951313 0.0611077 724.265 6094.97 719.632 4.63273 4.21106e+06 1.60842e+08 2.42798e+06 45.4225 12589.2 1.86063e+06 3.2307 1.81298 5.84404e+14 7.15473e+15 6.26506e+14 0.524165 0 0 20904 112875 8.35609 45.1202 0.0115373 0.00740286 2.7425e+10 9.98021e+11
24 0.0951313 0.0996147 0.0639876 722.414 6050.2 717.781 4.63283 4.6163e+06 1.77438e+08 2.697e+06 52.1465 12587.4 1.86046e+06 3.70914 1.81284 5.82338e+14 7.12943e+15 6.24337e+14 0.505722 0 0 22861.4 123010 8.33445 44.8451 0.011537 0.00741217 2.7425e+10 9.98021e+11
25 0.0996147 0.104309 0.0670032 720.48 6003.86 715.847 4.63294 5.06048e+06 1.95495e+08 2.99297e+06 59.8657 12585.6 1.86028e+06 4.25841 1.81268 5.80182e+14 7.10303e+15 6.22074e+14 0.486726 0 0 24999 134019 8.31185 44.5596 0.0115365 0.00742182 2.7425e+10 9.98021e+11
26 0.104309 0.109225 0.070161 718.461 5955.9 713.828 4.63305 5.54734e+06 2.15136e+08 3.31862e+06 68.7271 12583.8 1.8601e+06 4.88902 1.81252 5.77932e+14 7.0755e+15 6.19713e+14 0.466727 0 0 27333.1 145971 8.28825 44.2631 0.0115361 0.00743181 2.7425e+10 9.98021e+11
27 0.109225 0.114373 0.0734676 716.352 5906.17 711.719 4.63317 6.08097e+06 2.36493e+08 3.67698e+06 78.8998 12581.8 1.8599e+06 5.61298 1.81235 5.75587e+14 7.04678e+15 6.1725e+14 0.445808 0 0 29881 158940 8.26361 43.955 0.0115357 0.00744222 2.7425e+10 9.98021e+11
28 0.114373 0.119763 0.07693 714.151 5854.75 709.518 4.63329 6.66585e+06 2.59706e+08 4.07136e+06 90.5777 12579.7 1.8597e+06 6.44415 1.81217 5.7314e+14 7.01683e+15 6.14681e+14 0.42397 0 0 32661.9 173007 8.23788 43.6354 0.0115352 0.00745299 2.7425e+10 9.98021e+11
