#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 33 0.143987 0.150773 3.26161 3078.99 0 0 3078.99 0 0 2.67078e+13 nan 7.95144e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 34 0.150773 0.157879 3.41532 2945.71 0 0 2945.71 0 0 2.58464e+13 nan 8.03805e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 35 0.157879 0.165319 3.57628 2812.65 0 0 2812.65 0 0 2.49742e+13 nan 8.12885e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 36 0.165319 0.17311 3.74483 2680.08 0 0 2680.08 0 0 2.40924e+13 nan 8.22402e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 37 0.17311 0.181269 3.92132 2548.29 0 0 2548.29 0 0 2.32025e+13 nan 8.32378e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 38 0.181269 0.189812 4.10612 2417.58 0 0 2417.58 0 0 2.23057e+13 nan 8.42834e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 39 0.189812 0.198757 4.29964 2288.24 0 0 2288.24 0 0 2.14039e+13 nan 8.53793e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 40 0.198757 0.208125 4.50227 2160.57 0 0 2160.57 0 0 2.04986e+13 nan 8.65277e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 41 0.208125 0.217933 4.71446 2034.88 0 0 2034.88 0 0 1.95916e+13 nan 8.77311e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 42 0.217933 0.228204 4.93665 1911.47 0 0 1911.47 0 0 1.86849e+13 nan 8.89919e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 43 0.228204 0.238959 5.1693 1790.62 0 0 1790.62 0 0 1.77804e+13 nan 9.03128e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 44 0.238959 0.250221 5.41292 1672.64 0 0 1672.64 0 0 1.68801e+13 nan 9.16965e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 45 0.250221 0.262013 5.66803 1557.8 0 0 1557.8 0 0 1.59863e+13 nan 9.31456e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 46 0.262013 0.274362 5.93515 1446.36 0 0 1446.36 0 0 1.5101e+13 nan 9.46631e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 47 0.274362 0.287292 6.21487 1338.58 0 0 1338.58 0 0 1.42265e+13 nan 9.62519e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 48 0.287292 0.300832 6.50777 1234.69 0 0 1234.69 0 0 1.3365e+13 nan 9.79151e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 49 0.300832 0.315009 6.81447 1134.89 0 0 1134.89 0 0 1.25187e+13 nan 9.96557e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 50 0.315009 0.329855 7.13562 1039.39 0 0 1039.39 0 0 1.169e+13 nan 1.01477e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 51 0.329855 0.345401 7.47192 948.325 0 0 948.325 0 0 1.08809e+13 nan 1.03382e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 52 0.345401 0.361679 7.82406 861.847 0 0 861.847 0 0 1.00937e+13 nan 1.05375e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 53 0.361679 0.378724 8.19279 780.058 0 0 780.058 0 0 9.33029e+12 nan 1.07458e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 54 0.378724 0.396573 8.57891 703.031 0 0 703.031 0 0 8.59275e+12 nan 1.09635e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 55 0.396573 0.415263 8.98322 630.809 0 0 630.809 0 0 7.88285e+12 nan 1.11909e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 56 0.415263 0.434834 9.40659 563.403 0 0 563.403 0 0 7.20228e+12 nan 1.14285e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 57 0.434834 0.455327 9.8499 500.791 0 0 500.791 0 0 6.55252e+12 nan 1.16766e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 58 0.455327 0.476786 10.3141 442.92 0 0 442.92 0 0 5.93487e+12 nan 1.19355e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 59 0.476786 0.499256 10.8002 389.705 0 0 389.705 0 0 5.35042e+12 nan 1.22056e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 60 0.499256 0.522785 11.3092 341.033 0 0 341.033 0 0 4.80002e+12 nan 1.24873e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 61 0.522785 0.547423 11.8422 296.763 0 0 296.763 0 0 4.28426e+12 nan 1.2781e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 62 0.547423 0.573223 12.4003 256.729 0 0 256.729 0 0 3.80349e+12 nan 1.3087e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 63 0.573223 0.600238 12.9847 220.743 0 0 220.743 0 0 3.35778e+12 nan 1.34056e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 64 0.600238 0.628526 13.5967 188.598 0 0 188.598 0 0 2.94694e+12 nan 1.37373e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 65 0.628526 0.658148 14.2374 160.068 0 0 160.068 0 0 2.57051e+12 nan 1.40825e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 66 0.658148 0.689165 14.9084 134.919 0 0 134.919 0 0 2.22777e+12 nan 1.44414e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 67 0.689165 0.721645 15.611 112.906 0 0 112.906 0 0 1.91775e+12 nan 1.48145e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 68 0.721645 0.755655 16.3468 93.7773 0 0 93.7773 0 0 1.63925e+12 nan 1.52021e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 69 0.755655 0.791268 17.1172 77.2825 0 0 77.2825 0 0 1.39088e+12 nan 1.56046e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 70 0.791268 0.828559 17.9239 63.1712 0 0 63.1712 0 0 1.17103e+12 nan 1.60223e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 71 0.828559 0.867608 18.7686 51.1988 0 0 51.1988 0 0 9.77975e+11 nan 1.64556e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 72 0.867608 0.908497 19.6531 41.1285 0 0 41.1285 0 0 8.09839e+11 nan 1.69048e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 73 0.908497 0.951313 20.5794 32.734 0 0 32.734 0 0 6.64674e+11 nan 1.73703e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 74 0.951313 0.996147 21.5492 25.802 0 0 25.802 0 0 5.40475e+11 nan 1.78524e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 75 0.996147 1.04309 22.5648 20.1335 0 0 20.1335 0 0 4.3522e+11 nan 1.83514e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 76 1.04309 1.09225 23.6283 15.5454 0 0 15.5454 0 0 3.46903e+11 nan 1.88677e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 77 1.09225 1.14373 24.7418 11.8714 0 0 11.8714 0 0 2.73569e+11 nan 1.94015e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 78 1.14373 1.19763 25.9079 8.96189 0 0 8.96189 0 0 2.13335e+11 nan 1.99531e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 79 1.19763 1.25407 27.1289 6.6846 0 0 6.6846 0 0 1.64426e+11 nan 2.05229e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 80 1.25407 1.31318 28.4074 4.92371 0 0 4.92371 0 0 1.25183e+11 nan 2.1111e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 81 1.31318 1.37507 29.7462 3.57936 0 0 3.57936 0 0 9.40897e+10 nan 2.17178e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 82 1.37507 1.43987 31.1481 2.56658 0 0 2.56658 0 0 6.9774e+10 nan 2.23435e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 83 1.43987 1.50773 32.6161 1.81415 0 0 1.81415 0 0 5.10183e+10 nan 2.29882e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 84 1.50773 1.57879 34.1532 1.2632 0 0 1.2632 0 0 3.67578e+10 nan 2.36522e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 85 1.57879 1.65319 35.7628 0.865877 0 0 0.865877 0 0 2.60774e+10 nan 2.43356e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 86 1.65319 1.7311 37.4483 0.583868 0 0 0.583868 0 0 1.82034e+10 nan 2.50386e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 87 1.7311 1.81269 39.2132 0.387008 0 0 0.387008 0 0 1.24934e+10 nan 2.57611e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 88 1.81269 1.89812 41.0612 0.251959 0 0 0.251959 0 0 8.42381e+09 nan 2.65032e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 89 1.89812 1.98757 42.9964 0.160986 0 0 0.160986 0 0 5.57529e+09 nan 2.72649e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 90 1.98757 2.08125 45.0227 0.100859 0 0 0.100859 0 0 3.61892e+09 nan 2.80462e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 91 2.08125 2.17933 47.1446 0.061904 0 0 0.061904 0 0 2.30169e+09 nan 2.88469e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 92 2.17933 2.28204 49.3665 0.0371868 0 0 0.0371868 0 0 1.43301e+09 nan 2.96669e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 93 2.28204 2.38959 51.693 0.0218419 0 0 0.0218419 0 0 8.72479e+08 nan 3.0506e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 94 2.38959 2.50221 54.1292 0.0125307 0 0 0.0125307 0 0 5.18925e+08 nan 3.13637e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 95 2.50221 2.62013 56.6803 0.00701399 0 0 0.00701399 0 0 3.01175e+08 nan 3.22399e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 96 2.62013 2.74362 59.3515 0.00382618 0 0 0.00382618 0 0 1.70372e+08 nan 3.3134e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 97 2.74362 2.87292 62.1487 0.00203169 0 0 0.00203169 0 0 9.38245e+07 nan 3.40455e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 98 2.87292 3.00832 65.0777 0.0010488 0 0 0.0010488 0 0 5.02371e+07 nan 3.49739e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 99 3.00832 3.15009 68.1447 0.000525662 0 0 0.000525662 0 0 2.61184e+07 nan 3.59185e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 100 3.15009 3.29855 71.3562 0.000255445 0 0 0.000255445 0 0 1.31668e+07 nan 3.68786e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 101 3.29855 3.45401 74.7192 0.000120182 0 0 0.000120182 0 0 6.42682e+06 nan 3.78534e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 102 3.45401 3.61679 78.2406 5.46609e-05 0 0 5.46609e-05 0 0 3.03272e+06 nan 3.88419e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 103 3.61679 3.78724 81.9279 2.39952e-05 0 0 2.39952e-05 0 0 1.38132e+06 nan 3.98433e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 104 3.78724 3.96573 85.7891 1.01499e-05 0 0 1.01499e-05 0 0 606266 nan 4.08564e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 105 3.96573 4.15263 89.8322 4.12986e-06 0 0 4.12986e-06 0 0 255962 nan 4.18803e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 106 4.15263 4.34834 94.0659 1.61346e-06 0 0 1.61346e-06 0 0 103762 nan 4.29136e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 107 4.34834 4.55327 98.499 6.04087e-07 0 0 6.04087e-07 0 0 40311 nan 4.39552e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 108 4.55327 4.76786 103.141 2.1632e-07 0 0 2.1632e-07 0 0 14978 nan 4.50037e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
